source_row,sku,type,category,condition_id,raw_condition_descriptor,grader_descriptor,grade_descriptor,shipping_policy,title,price,image_urls,warnings
2,CHELLA-SEALED-PO-BB,sealed,261035,1000,,,,Shipping-Normal,Perfect Order Sealed Booster Box Perfect Order Pokemon TCG Sealed,209.99,https://chellacollectibles.com/images/po-bb.jpg,
3,CHELLA-SEALED-JUNGLE-PACK,sealed,183053,1000,,,,Shipping-Normal,Jungle Unlimited Booster Pack Jungle Set Pokemon TCG Sealed,249.99,https://chellacollectibles.com/images/jungle-pack.jpg,
4,CHELLA-SINGLE-SINGLES-0193,single,183050,4000,400011,,,Shipping-Normal,Raikou #061/L-P Legend Pokemon Card LP,19.99,https://chellacollectibles.com/images/singles_0193.jpg|https://chellacollectibles.com/images/singles_0194.jpg,
5,CHELLA-SINGLE-SINGLES-0233,single,183050,4000,400011,,,Shipping-Normal,Dark Slowbro #12 1st Edition Holofoil Team Rocket Pokemon Card LP,64.99,https://chellacollectibles.com/images/singles_0233.jpg|https://chellacollectibles.com/images/singles_0234.jpg,
6,CHELLA-SINGLE-SINGLES-0235,single,183050,4000,400011,,,Shipping-Normal,Dark Golbat #7 1st Edition Holofoil Team Rocket Pokemon Card LP,39.99,https://chellacollectibles.com/images/singles_0235.jpg|https://chellacollectibles.com/images/singles_0236.jpg,
7,CHELLA-SINGLE-SINGLES-0237,single,183050,4000,400012,,,Shipping-Normal,Dark Weezing #14 1st Edition Holofoil Team Rocket Pokemon Card MP,21.99,https://chellacollectibles.com/images/singles_0237.jpg|https://chellacollectibles.com/images/singles_0238.jpg,
8,CHELLA-SINGLE-SINGLES-0239,single,183050,4000,400012,,,Shipping-Normal,Dark Charizard #21 1st Edition Team Rocket Pokemon Card MP,74.99,https://chellacollectibles.com/images/singles_0239.jpg|https://chellacollectibles.com/images/singles_0240.jpg,
9,CHELLA-SINGLE-SINGLES-0241,single,183050,4000,400012,,,Shipping-Normal,Dark Charizard #21 1st Edition Team Rocket Pokemon Card MP,74.99,https://chellacollectibles.com/images/singles_0241.jpg|https://chellacollectibles.com/images/singles_0242.jpg,
10,CHELLA-SINGLE-SINGLES-0243,single,183050,4000,400012,,,Shipping-Normal,Dark Blastoise #20 1st Edition Team Rocket Pokemon Card MP,27.99,https://chellacollectibles.com/images/singles_0243.jpg|https://chellacollectibles.com/images/singles_0244.jpg,
11,CHELLA-SINGLE-SINGLES-0245,single,183050,4000,400013,,,Shipping-Normal,Kabutops #9 1st Edition Holofoil Fossil Pokemon Card HP,34.99,https://chellacollectibles.com/images/singles_0245.jpg|https://chellacollectibles.com/images/singles_0246.jpg,
12,CHELLA-SINGLE-SINGLES-0219,single,183050,4000,400011,,,Shipping-Normal,Azumarill #2 Neo Genesis Pokemon Card LP,19.99,https://chellacollectibles.com/images/singles_0219.jpg|https://chellacollectibles.com/images/singles_0220.jpg,
13,CHELLA-SINGLE-SINGLES-0257,single,183050,4000,400013,,,Shipping-Normal,Mewtwo #10 Base Pokemon Card DMG,12.99,https://chellacollectibles.com/images/singles_0257.jpg|https://chellacollectibles.com/images/singles_0258.jpg,
14,CHELLA-SINGLE-SINGLES-0281,single,183050,4000,400013,,,Shipping-Normal,Machamp #8 1st Edition Holofoil Base Pokemon Card DMG,5.99,https://chellacollectibles.com/images/singles_0281.jpg|https://chellacollectibles.com/images/singles_0282.jpg,
